AM903082.gene5.p01	APH(3')-IIIa	ARO:3002647
M37699.gene1.p01	tetX	ARO:3000205
AY123251.gene3.p01	aadA	ARO:3002601
AY123251.gene5.p01	AAC(6')-IIa	ARO:3002594
NC_008702.1.4607355.p01	fosfomycin sensitive pyruvyl transferase (murA)	ARO:3000724
NC_008702.1.4607826.p01	elongation factor G	ARO:3000730
AE000516.2.gene708.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
AE000516.2.gene4101.p01	Mycobacterium tuberculosis embB mutations conferring resistance to ethambutol	ARO:3003326
AE000516.2.gene4101.p01	Mycobacterium tuberculosis embB mutants conferring resistance to rifampicin	ARO:3003465
AM087453.1.gene1.p01	SHV-84	ARO:3001138
GQ244501.1.gene1.p01	tet43	ARO:3000573
AF299299.1.gene1.p01	SHV-28	ARO:3001086
AM176548.2.gene1.p01	SHV-73	ARO:3001127
AM176550.2.gene1.p01	SHV-75	ARO:3001129
AB733453.1.gene1.p01	SHV-167	ARO:3001204
AM176546.2.gene1.p01	SHV-71	ARO:3001125
AM176547.2.gene1.p01	SHV-72	ARO:3001126
AM176549.2.gene1.p01	SHV-74	ARO:3001128
AJ011428.2.gene1.p01	SHV-15	ARO:3001074
AB551737.1.gene1.p01	SHV-133	ARO:3001177
AM176552.2.gene1.p01	SHV-77	ARO:3001131
AM176553.2.gene1.p01	SHV-78	ARO:3001132
AM176554.2.gene1.p01	SHV-79	ARO:3001133
AM176551.2.gene1.p01	SHV-76	ARO:3001130
AM176556.2.gene1.p01	SHV-81	ARO:3001135
AM176557.2.gene1.p01	SHV-82	ARO:3001136
AY070258.1.gene1.p1	SHV-35	ARO:3001093
AM176555.2.gene1.p01	SHV-80	ARO:3001134
AM176558.2.gene1.p01	SHV-83	ARO:3001137
DQ174305.1.gene1.p01	SHV-65	ARO:3001120
DQ174307.1.gene1.p01	SHV-67	ARO:3001122
AY289548.1.gene1.p01	SHV-51	ARO:3001108
AY790341.1.gene1.p01	SHV-59	ARO:3001114
DQ174306.1.gene1.p01	SHV-66	ARO:3001121
DQ174308.1.gene1.p01	SHV-69	ARO:3001123
DQ013287.1.gene1.p1	SHV-70	ARO:3001124
DQ174304.1.gene1.p01	SHV-64	ARO:3001119
DQ328802.1.gene1.p01	SHV-86	ARO:3001140
EF373970.1.gene1.p01	SHV-94	ARO:3001146
JX013655.1.gene1.p01	SHV-145	ARO:3001185
EF373973.1.gene1.p01	SHV-97	ARO:3001149
JX268752.1.gene1.p01	SHV-11	ARO:3001070
EF373969.1.gene1.p01	SHV-93	ARO:3001145
EU274581.1.gene1.p1	SHV-104	ARO:3001153
JF812965.1.gene1.p01	SHV-120	ARO:3001167
JQ388884.1.gene1.p1	SHV-141	ARO:3001183
EF373971.1.gene1.p01	SHV-96	ARO:3001148
EF373972.1.gene1.p01	SHV-95	ARO:3001147
EU342351.1.gene1.p01	SHV-63	ARO:3001118
Y11069.1.gene1.p01	SHV-6	ARO:3001065
JQ029959.1.gene1.p01	SHV-142	ARO:3001184
AF164577.1.gene1.p01	SHV-13	ARO:3001072
AF208796.2.gene1.p01	SHV-25	ARO:3001083
AF293345.1.gene1.p01	SHV-27	ARO:3001085
AY259119.1.gene1.p1	SHV-44	ARO:3001102
AY277255.2.gene1.p01	SHV-31	ARO:3001089
AF226622.1.gene1.p01	SHV-14	ARO:3001073
EU684753.1.gene1.p01	SHV-18	ARO:3001076
AF227204.1.gene1.p01	SHV-26	ARO:3001084
JX268631.1.gene1.p01	SHV-33	ARO:3001091
AY210887.1.gene1.p1	SHV-46	ARO:3001104
DQ054528.1.gene1.p01	SHV-55	ARO:3001111
AY223863.1.gene1.p01	SHV-57	ARO:3001113
AB302939.1.gene1.p01	SHV-60	ARO:3001115
AJ866285.2.gene1.p01	SHV-62	ARO:3001117
AY528718.1.gene1.p01	SHV-49	ARO:3001106
EU586041.1.gene1.p01	SHV-56	ARO:3001112
AJ866284.2.gene1.p01	SHV-61	ARO:3001116
DQ322460.1.gene1.p1	SHV-85	ARO:3001139
EU418913.1.gene1.p01	SHV-109	ARO:3001158
EU032604.1.gene1.p01	SHV-103	ARO:3001152
DQ193536.1.gene1.p01	SHV-89	ARO:3001141
FJ194944.1.gene1.p01	SHV-105	ARO:3001154
HM751100.1.gene1.p01	SHV-108	ARO:3001157
AF072684.2.gene1.p2	SHV-16	ARO:3001075
DQ836922.1.gene1.p01	SHV-92	ARO:3001144
EU155018.1.gene1.p01	SHV-101	ARO:3001150
EU024485.1.gene1.p01	SHV-102	ARO:3001151
HQ877615.1.gene1.p01	SHV-110	ARO:3001159
AF301532.1.gene1.p01	SHV-29	ARO:3001087
AY590467.1.gene1.p1	SHV-53	ARO:3001110
AE000516.2.gene4169.p01	mycobacterium tuberculosis ethA mutant conferring resistance to ethionamide	ARO:3003458
NC_011035.1.6447745.p01	mtrR	ARO:3000817
NC_008702.1.4608286.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
HE993884.1.gene8.p01	PC1 beta-lactamase (blaZ)	ARO:3000621
CP001138.1.gene2719.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_010558.1.6276115.p01	antibiotic sensitive dihydropteroate synthase	ARO:3000744
CP001138.1.gene409.p01	cycloserine sensitive D-alanine synthetase	ARO:3000723
NC_010558.1.6276025.p01	tetD	ARO:3000168
AE000516.2.gene6.p01	fluoroquinolone sensitive gyrA	ARO:3000733
NC_011035.1.6448898.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
AE000516.2.gene4099.p01	antibiotic sensitive arabinosyltransferase	ARO:3000725
NC_010558.1.6275994.p01	aadA5	ARO:3002605
NC_008702.1.4606852.p01	elongation factor G	ARO:3000730
